Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-08 00:00:00+00:00,BD,Bangladesh,SEARO,3,3,0,0
2020-03-09 00:00:00+00:00,BD,Bangladesh,SEARO,0,3,0,0
2020-03-10 00:00:00+00:00,BD,Bangladesh,SEARO,0,3,0,0
2020-03-11 00:00:00+00:00,BD,Bangladesh,SEARO,0,3,0,0
2020-03-12 00:00:00+00:00,BD,Bangladesh,SEARO,0,3,0,0
2020-03-13 00:00:00+00:00,BD,Bangladesh,SEARO,0,3,0,0
2020-03-14 00:00:00+00:00,BD,Bangladesh,SEARO,0,3,0,0
2020-03-15 00:00:00+00:00,BD,Bangladesh,SEARO,0,3,0,0
2020-03-16 00:00:00+00:00,BD,Bangladesh,SEARO,5,8,0,0
2020-03-17 00:00:00+00:00,BD,Bangladesh,SEARO,0,8,0,0
2020-03-18 00:00:00+00:00,BD,Bangladesh,SEARO,2,10,0,0
2020-03-19 00:00:00+00:00,BD,Bangladesh,SEARO,7,17,1,1
2020-03-20 00:00:00+00:00,BD,Bangladesh,SEARO,0,17,0,1
2020-03-21 00:00:00+00:00,BD,Bangladesh,SEARO,7,24,1,2
2020-03-22 00:00:00+00:00,BD,Bangladesh,SEARO,0,24,0,2
2020-03-23 00:00:00+00:00,BD,Bangladesh,SEARO,3,27,0,2
2020-03-24 00:00:00+00:00,BD,Bangladesh,SEARO,12,39,2,4
2020-03-25 00:00:00+00:00,BD,Bangladesh,SEARO,0,39,0,4
2020-03-26 00:00:00+00:00,BD,Bangladesh,SEARO,5,44,1,5
2020-03-27 00:00:00+00:00,BD,Bangladesh,SEARO,4,48,0,5
2020-03-28 00:00:00+00:00,BD,Bangladesh,SEARO,0,48,0,5
2020-03-29 00:00:00+00:00,BD,Bangladesh,SEARO,0,48,0,5
2020-03-30 00:00:00+00:00,BD,Bangladesh,SEARO,1,49,0,5
2020-03-31 00:00:00+00:00,BD,Bangladesh,SEARO,0,49,0,5
2020-04-01 00:00:00+00:00,BD,Bangladesh,SEARO,5,54,1,6
2020-04-02 00:00:00+00:00,BD,Bangladesh,SEARO,2,56,0,6
2020-04-03 00:00:00+00:00,BD,Bangladesh,SEARO,5,61,0,6
2020-04-04 00:00:00+00:00,BD,Bangladesh,SEARO,9,70,2,8
2020-04-05 00:00:00+00:00,BD,Bangladesh,SEARO,18,88,0,8
2020-04-06 00:00:00+00:00,BD,Bangladesh,SEARO,35,123,4,12
2020-04-07 00:00:00+00:00,BD,Bangladesh,SEARO,41,164,5,17
2020-04-08 00:00:00+00:00,BD,Bangladesh,SEARO,54,218,3,20
2020-04-09 00:00:00+00:00,BD,Bangladesh,SEARO,112,330,1,21
2020-04-10 00:00:00+00:00,BD,Bangladesh,SEARO,94,424,6,27
2020-04-11 00:00:00+00:00,BD,Bangladesh,SEARO,58,482,3,30
2020-04-12 00:00:00+00:00,BD,Bangladesh,SEARO,139,621,4,34
2020-04-13 00:00:00+00:00,BD,Bangladesh,SEARO,182,803,5,39
2020-04-14 00:00:00+00:00,BD,Bangladesh,SEARO,209,1012,7,46
2020-04-15 00:00:00+00:00,BD,Bangladesh,SEARO,219,1231,4,50
2020-04-16 00:00:00+00:00,BD,Bangladesh,SEARO,341,1572,10,60
2020-04-17 00:00:00+00:00,BD,Bangladesh,SEARO,266,1838,15,75
2020-04-18 00:00:00+00:00,BD,Bangladesh,SEARO,306,2144,9,84
2020-04-19 00:00:00+00:00,BD,Bangladesh,SEARO,312,2456,7,91
2020-04-20 00:00:00+00:00,BD,Bangladesh,SEARO,492,2948,10,101
2020-04-21 00:00:00+00:00,BD,Bangladesh,SEARO,434,3382,9,110
2020-04-22 00:00:00+00:00,BD,Bangladesh,SEARO,390,3772,10,120
2020-04-23 00:00:00+00:00,BD,Bangladesh,SEARO,414,4186,7,127
2020-04-24 00:00:00+00:00,BD,Bangladesh,SEARO,503,4689,4,131
2020-04-25 00:00:00+00:00,BD,Bangladesh,SEARO,309,4998,9,140
2020-04-26 00:00:00+00:00,BD,Bangladesh,SEARO,418,5416,5,145
2020-04-27 00:00:00+00:00,BD,Bangladesh,SEARO,497,5913,7,152
2020-04-28 00:00:00+00:00,BD,Bangladesh,SEARO,549,6462,3,155
2020-04-29 00:00:00+00:00,BD,Bangladesh,SEARO,641,7103,8,163
2020-04-30 00:00:00+00:00,BD,Bangladesh,SEARO,564,7667,5,168
2020-05-01 00:00:00+00:00,BD,Bangladesh,SEARO,571,8238,2,170
2020-05-02 00:00:00+00:00,BD,Bangladesh,SEARO,552,8790,5,175
2020-05-03 00:00:00+00:00,BD,Bangladesh,SEARO,665,9455,2,177
2020-05-04 00:00:00+00:00,BD,Bangladesh,SEARO,688,10143,5,182
2020-05-05 00:00:00+00:00,BD,Bangladesh,SEARO,786,10929,1,183
2020-05-06 00:00:00+00:00,BD,Bangladesh,SEARO,790,11719,3,186
2020-05-07 00:00:00+00:00,BD,Bangladesh,SEARO,706,12425,0,186
2020-05-08 00:00:00+00:00,BD,Bangladesh,SEARO,709,13134,20,206
2020-05-09 00:00:00+00:00,BD,Bangladesh,SEARO,636,13770,8,214
2020-05-10 00:00:00+00:00,BD,Bangladesh,SEARO,887,14657,14,228
2020-05-11 00:00:00+00:00,BD,Bangladesh,SEARO,1034,15691,11,239
2020-05-12 00:00:00+00:00,BD,Bangladesh,SEARO,969,16660,11,250
2020-05-13 00:00:00+00:00,BD,Bangladesh,SEARO,1162,17822,19,269
2020-05-14 00:00:00+00:00,BD,Bangladesh,SEARO,1041,18863,14,283
2020-05-15 00:00:00+00:00,BD,Bangladesh,SEARO,1202,20065,15,298
2020-05-16 00:00:00+00:00,BD,Bangladesh,SEARO,930,20995,16,314
2020-05-17 00:00:00+00:00,BD,Bangladesh,SEARO,0,20995,0,314
2020-05-18 00:00:00+00:00,BD,Bangladesh,SEARO,2875,23870,35,349
2020-05-19 00:00:00+00:00,BD,Bangladesh,SEARO,1251,25121,21,370
2020-05-20 00:00:00+00:00,BD,Bangladesh,SEARO,1617,26738,16,386
2020-05-21 00:00:00+00:00,BD,Bangladesh,SEARO,1773,28511,22,408
2020-05-22 00:00:00+00:00,BD,Bangladesh,SEARO,1694,30205,24,432
2020-05-23 00:00:00+00:00,BD,Bangladesh,SEARO,1873,32078,20,452
2020-05-24 00:00:00+00:00,BD,Bangladesh,SEARO,1532,33610,28,480
2020-05-25 00:00:00+00:00,BD,Bangladesh,SEARO,1975,35585,21,501
2020-05-26 00:00:00+00:00,BD,Bangladesh,SEARO,1166,36751,21,522
2020-05-27 00:00:00+00:00,BD,Bangladesh,SEARO,1541,38292,22,544
2020-05-28 00:00:00+00:00,BD,Bangladesh,SEARO,2029,40321,15,559
2020-05-29 00:00:00+00:00,BD,Bangladesh,SEARO,2523,42844,23,582
2020-05-30 00:00:00+00:00,BD,Bangladesh,SEARO,1764,44608,28,610
2020-05-31 00:00:00+00:00,BD,Bangladesh,SEARO,2545,47153,40,650
2020-06-01 00:00:00+00:00,BD,Bangladesh,SEARO,0,47153,0,650
2020-06-02 00:00:00+00:00,BD,Bangladesh,SEARO,2381,49534,22,672
2020-06-03 00:00:00+00:00,BD,Bangladesh,SEARO,2911,52445,37,709
2020-06-04 00:00:00+00:00,BD,Bangladesh,SEARO,2695,55140,37,746
2020-06-05 00:00:00+00:00,BD,Bangladesh,SEARO,2423,57563,35,781
2020-06-06 00:00:00+00:00,BD,Bangladesh,SEARO,2828,60391,30,811
2020-06-07 00:00:00+00:00,BD,Bangladesh,SEARO,2635,63026,35,846
2020-06-08 00:00:00+00:00,BD,Bangladesh,SEARO,2743,65769,42,888
2020-06-09 00:00:00+00:00,BD,Bangladesh,SEARO,2735,68504,42,930
2020-06-10 00:00:00+00:00,BD,Bangladesh,SEARO,3171,71675,45,975
2020-06-11 00:00:00+00:00,BD,Bangladesh,SEARO,3190,74865,37,1012
2020-06-12 00:00:00+00:00,BD,Bangladesh,SEARO,3187,78052,37,1049
2020-03-06 00:00:00+00:00,BT,Bhutan,SEARO,1,1,0,0
2020-03-07 00:00:00+00:00,BT,Bhutan,SEARO,0,1,0,0
2020-03-08 00:00:00+00:00,BT,Bhutan,SEARO,0,1,0,0
2020-03-09 00:00:00+00:00,BT,Bhutan,SEARO,0,1,0,0
2020-03-10 00:00:00+00:00,BT,Bhutan,SEARO,0,1,0,0
2020-03-11 00:00:00+00:00,BT,Bhutan,SEARO,0,1,0,0
2020-03-12 00:00:00+00:00,BT,Bhutan,SEARO,0,1,0,0
2020-03-13 00:00:00+00:00,BT,Bhutan,SEARO,0,1,0,0
2020-03-14 00:00:00+00:00,BT,Bhutan,SEARO,0,1,0,0
2020-03-15 00:00:00+00:00,BT,Bhutan,SEARO,0,1,0,0
2020-03-16 00:00:00+00:00,BT,Bhutan,SEARO,0,1,0,0
2020-03-17 00:00:00+00:00,BT,Bhutan,SEARO,0,1,0,0
2020-03-18 00:00:00+00:00,BT,Bhutan,SEARO,0,1,0,0
2020-03-19 00:00:00+00:00,BT,Bhutan,SEARO,1,2,0,0
2020-03-20 00:00:00+00:00,BT,Bhutan,SEARO,0,2,0,0
2020-03-21 00:00:00+00:00,BT,Bhutan,SEARO,0,2,0,0
2020-03-22 00:00:00+00:00,BT,Bhutan,SEARO,0,2,0,0
2020-03-23 00:00:00+00:00,BT,Bhutan,SEARO,0,2,0,0
2020-03-24 00:00:00+00:00,BT,Bhutan,SEARO,0,2,0,0
2020-03-25 00:00:00+00:00,BT,Bhutan,SEARO,0,2,0,0
2020-03-26 00:00:00+00:00,BT,Bhutan,SEARO,1,3,0,0
2020-03-27 00:00:00+00:00,BT,Bhutan,SEARO,0,3,0,0
2020-03-28 00:00:00+00:00,BT,Bhutan,SEARO,0,3,0,0
2020-03-29 00:00:00+00:00,BT,Bhutan,SEARO,0,3,0,0
2020-03-30 00:00:00+00:00,BT,Bhutan,SEARO,1,4,0,0
2020-03-31 00:00:00+00:00,BT,Bhutan,SEARO,0,4,0,0
2020-04-01 00:00:00+00:00,BT,Bhutan,SEARO,0,4,0,0
2020-04-02 00:00:00+00:00,BT,Bhutan,SEARO,1,5,0,0
2020-04-03 00:00:00+00:00,BT,Bhutan,SEARO,0,5,0,0
2020-04-04 00:00:00+00:00,BT,Bhutan,SEARO,0,5,0,0
2020-04-05 00:00:00+00:00,BT,Bhutan,SEARO,0,5,0,0
2020-04-06 00:00:00+00:00,BT,Bhutan,SEARO,0,5,0,0
2020-04-07 00:00:00+00:00,BT,Bhutan,SEARO,0,5,0,0
2020-04-08 00:00:00+00:00,BT,Bhutan,SEARO,0,5,0,0
2020-04-09 00:00:00+00:00,BT,Bhutan,SEARO,0,5,0,0
2020-04-10 00:00:00+00:00,BT,Bhutan,SEARO,0,5,0,0
2020-04-11 00:00:00+00:00,BT,Bhutan,SEARO,0,5,0,0
2020-04-12 00:00:00+00:00,BT,Bhutan,SEARO,0,5,0,0
2020-04-13 00:00:00+00:00,BT,Bhutan,SEARO,0,5,0,0
2020-04-14 00:00:00+00:00,BT,Bhutan,SEARO,0,5,0,0
2020-04-15 00:00:00+00:00,BT,Bhutan,SEARO,0,5,0,0
2020-04-16 00:00:00+00:00,BT,Bhutan,SEARO,0,5,0,0
2020-04-17 00:00:00+00:00,BT,Bhutan,SEARO,0,5,0,0
2020-04-18 00:00:00+00:00,BT,Bhutan,SEARO,0,5,0,0
2020-04-19 00:00:00+00:00,BT,Bhutan,SEARO,0,5,0,0
2020-04-20 00:00:00+00:00,BT,Bhutan,SEARO,0,5,0,0
2020-04-21 00:00:00+00:00,BT,Bhutan,SEARO,1,6,0,0
2020-04-22 00:00:00+00:00,BT,Bhutan,SEARO,0,6,0,0
2020-04-23 00:00:00+00:00,BT,Bhutan,SEARO,1,7,0,0
2020-04-24 00:00:00+00:00,BT,Bhutan,SEARO,0,7,0,0
2020-04-25 00:00:00+00:00,BT,Bhutan,SEARO,0,7,0,0
2020-04-26 00:00:00+00:00,BT,Bhutan,SEARO,0,7,0,0
2020-04-27 00:00:00+00:00,BT,Bhutan,SEARO,0,7,0,0
2020-04-28 00:00:00+00:00,BT,Bhutan,SEARO,0,7,0,0
2020-04-29 00:00:00+00:00,BT,Bhutan,SEARO,0,7,0,0
2020-04-30 00:00:00+00:00,BT,Bhutan,SEARO,0,7,0,0
2020-05-01 00:00:00+00:00,BT,Bhutan,SEARO,0,7,0,0
2020-05-02 00:00:00+00:00,BT,Bhutan,SEARO,0,7,0,0
2020-05-03 00:00:00+00:00,BT,Bhutan,SEARO,0,7,0,0
2020-05-04 00:00:00+00:00,BT,Bhutan,SEARO,0,7,0,0
2020-05-05 00:00:00+00:00,BT,Bhutan,SEARO,0,7,0,0
2020-05-06 00:00:00+00:00,BT,Bhutan,SEARO,0,7,0,0
2020-05-07 00:00:00+00:00,BT,Bhutan,SEARO,0,7,0,0
2020-05-08 00:00:00+00:00,BT,Bhutan,SEARO,0,7,0,0
2020-05-09 00:00:00+00:00,BT,Bhutan,SEARO,0,7,0,0
2020-05-10 00:00:00+00:00,BT,Bhutan,SEARO,0,7,0,0
2020-05-11 00:00:00+00:00,BT,Bhutan,SEARO,2,9,0,0
2020-05-12 00:00:00+00:00,BT,Bhutan,SEARO,2,11,0,0
2020-05-13 00:00:00+00:00,BT,Bhutan,SEARO,0,11,0,0
2020-05-14 00:00:00+00:00,BT,Bhutan,SEARO,4,15,0,0
2020-05-15 00:00:00+00:00,BT,Bhutan,SEARO,5,20,0,0
2020-05-16 00:00:00+00:00,BT,Bhutan,SEARO,1,21,0,0
2020-05-17 00:00:00+00:00,BT,Bhutan,SEARO,0,21,0,0
2020-05-18 00:00:00+00:00,BT,Bhutan,SEARO,0,21,0,0
2020-05-19 00:00:00+00:00,BT,Bhutan,SEARO,0,21,0,0
2020-05-20 00:00:00+00:00,BT,Bhutan,SEARO,0,21,0,0
2020-05-21 00:00:00+00:00,BT,Bhutan,SEARO,0,21,0,0
2020-05-22 00:00:00+00:00,BT,Bhutan,SEARO,0,21,0,0
2020-05-23 00:00:00+00:00,BT,Bhutan,SEARO,0,21,0,0
2020-05-24 00:00:00+00:00,BT,Bhutan,SEARO,3,24,0,0
2020-05-25 00:00:00+00:00,BT,Bhutan,SEARO,3,27,0,0
2020-05-26 00:00:00+00:00,BT,Bhutan,SEARO,0,27,0,0
